name,url_or_email,focus,priority,why_relevant,notes
Latent Space,https://www.latent.space,"AI eng, infra, tooling, podcast",P1,"swyx covers dev-tools-for-AI obsessively; cassette-style replay is exactly the kind of infra story they highlight",DM swyx on X (@swyx) with HN link; podcast pitch as a secondary ask
TLDR AI,https://tldr.tech/ai,"daily AI newsletter, broad audience",P1,"audience overlaps heavily with HN readers; a Show HN front-page placement is enough hook for inclusion",submit via https://tldr.tech/ai/submit (form); follow up by email to dan@tldr.tech if known
Python Weekly,https://www.pythonweekly.com,"curated weekly Python newsletter",P1,"audience is exactly the user — Python devs who write tests; pytest plugin angle lands here","email rahul@pythonweekly.com (editor); subject: ""Submission: Reel — VCR for LLM APIs (pytest plugin)"""
PyCoder's Weekly,https://pycoders.com,"curated weekly Python newsletter",P1,"same as Python Weekly; Dan Bader / team curate; deeply read by working Python engineers",submit via https://pycoders.com/submit; mention pytest plugin + 332-test coverage
The Pragmatic Engineer,https://www.pragmaticengineer.com,"engineering practices, infra, hiring",P2,"Gergely Orosz covers dev-tooling; LLM-test-cost angle fits the ""tech debt costing real money"" beat",DM Gergely on X or LinkedIn; lead with the CI-cost framing not the cassette internals
Last Week in AI,https://lastweekin.ai,"AI research + industry roundup",P2,"slight lean toward research news but covers tooling weeks; reproducibility angle fits",submit via https://lastweekin.ai/submit (if open) or email skynet@lastweekin.ai
The Batch,https://www.deeplearning.ai/the-batch,"DeepLearning.AI weekly newsletter, Andrew Ng",P3,"big audience but research/education-skewed; lower fit for a Python dev-tool",email thebatch@deeplearning.ai with the reproducibility-of-LLM-experiments angle
Import AI,https://importai.substack.com,"weekly AI research roundup, Jack Clark",P2,"Anthropic-co-founder-curated; reproducibility + cost + transparency themes resonate","DM Jack on X (@jackclarkSF); short note, lead with reproducibility for evals"
The Sequence,https://thesequence.substack.com,"ML/AI engineering newsletter, Jesus Rodriguez",P2,"engineering-leaning; covers MLOps tools",DM on LinkedIn; pitch under the MLOps-for-LLMs banner
Bens Bites,https://www.bensbites.co,"daily AI roundup, broad reach",P2,"high reach but light technical depth; quick blurb fits their format",submit via https://www.bensbites.co/submit-tool (tool directory) and email ben@bensbites.co
Software at Scale,https://www.softwareatscale.dev,"Utsav Shah's eng-practices newsletter/podcast",P2,"podcast covers infra + tooling at depth; pitch the cassette format as the podcast angle",DM Utsav on X or email via Substack
Aman's AI Journal,https://aman.ai,"AI/ML primers, research notes",P3,"more reference-content than tools coverage; lower fit but technical audience",email aman@aman.ai if reachable; lower priority
The Algorithmic Bridge,https://www.thealgorithmicbridge.com,"AI commentary, Alberto Romero",P3,"essayistic and AGI-ish; rarely covers tooling but has reach",DM on Substack; only if you have a strong narrative hook (e.g. ""why CI costs are an AI tax"")
The Gradient,https://thegradient.pub,"ML research publication",P3,"essay-format publication; deep technical pieces, slow cadence",pitch a guest-post on deterministic LLM evals — long-form, not a tool announcement
Bytes,https://bytes.dev,"JS/TS newsletter (Tyler McGinnis et al.)",P3,"low fit — JS-focused — but the TypeScript SDK is post-MVP and this becomes P1 then","park; re-pitch when the TS SDK ships"
The Neuron,https://www.theneurondaily.com,"daily AI newsletter, mainstream",P3,"broad mainstream AI audience; light on dev-tools",submit via their tip form; don't expect a featured slot
Software Lead Weekly,https://softwareleadweekly.com,"eng-leadership newsletter, Oren Ellenbogen",P3,"audience is eng managers not IC devs; angle: ""how to cut LLM CI bills""",email oren@softwareleadweekly.com with the cost-control framing
Towards Data Science,https://towardsdatascience.com,"Medium publication, ML/data",P3,"not a newsletter but a publication; guest-post potential for the reproducibility angle",submit via their author guidelines; long lead time
AI Tidbits,https://aitidbits.ai,"AI dev-tools weekly",P2,"covers AI-engineering tools specifically; high fit","submit via newsletter contact form; mention the pytest + CI angle"
